formula,k,c,s,zt
Bi0.985Na0.015Cu1Se1O1,0.807414105,11.47956522,0.753454345,8.071290735
Bi0.980Na0.020Cu1Se1O1,0.727094635,9.972826087,0.747373419,7.66130232
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Cu1Se1O1,0.737762238,1.729809615,0.906942043,1.928594635
Bi1Cu0.975Se1O1,0.891608392,3.079022864,0.811586027,2.274614949
Bi0.975Cu0.975Se1O1,0.667832168,3.64939581,0.75299407,3.098394746
Bi1Cu1Se1O1,1,1,1,1
Bi0.94La0.00Pb0.06Cu1Se1O1,1.79415434,7.339627465,0.584488957,1.397548339
Bi0.93La0.01Pb0.06Cu1Se1O1,1.838531456,9.497626004,0.5729148,1.695602635
Bi0.92La0.02Pb0.06Cu1Se1O1,1.806808056,9.497626004,0.535878095,1.509506737
Bi0.90La0.04Pb0.06Cu1Se1O1,1.530030298,7.952447042,0.554397941,1.597511421
Bi1Cu1Se1O1,1,1,1,1
Bi1Cu1Se0.98Te0.02O1,1.171904762,2.982098676,0.957867544,2.334751196
Bi1Cu1Se0.96Te0.04O1,1.296666667,2.629311599,1.016384232,2.094737216
Bi1Cu1Se0.94Te0.06O1,1.392142857,3.214815893,0.992977006,2.276935282
Bi1Cu1Se0.90Te0.10O1,1.050238095,1.980497744,0.938362899,1.660459323
Bi1Cu1Se0.85Te0.15O1,1.062380952,3.482899141,0.726147296,1.728661944
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Pb0.04Cu1Se1O1,1.580143245,7.641733058,0.662238114,2.120917366
Bi0.94Pb0.06Cu1Se1O1,1.308965177,6.223812334,0.656959119,2.052131025
Bi0.92Pb0.08Cu1Se1O1,1.428747839,12.23123832,0.59086475,2.988759739
Bi0.90Pb0.10Cu1Se1O1,1.598913312,13.79841645,0.559794843,2.704345137
Bi1Cu1Se1O1,1,1,1,1
Bi0.940La0.060Cu1Se1O1,1.145214521,1.48211199,0.828950744,0.889306825
Bi0.920La0.080Cu1Se1O1,1.21060231,1.934524121,0.764231686,0.933303149
Bi0.900La0.100Cu1Se1O1,1.303011551,2.238070295,0.737648354,0.934596635
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Ag0.04Cu1Se1O1,1.033347056,1.192081804,0.855911132,0.845117709
Bi0.94Ag0.06Cu1Se1O1,0.988472622,1.060985842,0.914764808,0.898180951
