Material,zt,nomalized_zt,k(W/m-k),nomalized_k,Conductivity(S/cm),nomalized_c,S(__V/K),nomalized_s,calculated_zt,normalized_calculated_zt,cop_normalized_calculated_zt,error_zt
Bi0.92Pb0.08Cu0.92Ni0.08Se1O1,0.77,1.925,0.6513,1.267613858,158.252,8.810867992,176.524,0.524091574,0.529997339,1.909176464,1.909176464,-31.2
Bi0.90Pb0.10Cu0.90Ni0.10Se1O1,0.92,2.3,0.6646,1.293499416,217.961,12.13523746,166.966,0.495714315,0.639989105,2.305392965,2.305392965,-30.4
Bi1Cu1Se1O1,0.14,1,0.6,1,5.079,1,374.818,1,0.08324648,1,1,-40.5
Bi0.975Cu1Se1O1,0.61,4.357142857,0.6091,1.015166667,19.804,3.899192754,370.451,0.988349012,0.312337336,3.751958454,3.751958454,-48.8
Bi0.95Cu1Se1O1,0.53,3.785714286,0.6682,1.113666667,46.46,9.147469974,281.659,0.751455373,0.386116215,4.638228711,4.638228711,-27.1
Bi0.9Cu1Se1O1,0.28,2,0.6273,1.0455,49.348,9.716085844,193.595,0.51650401,0.206386165,2.479217913,2.479217913,-26.3
Bi1Cu1Se1O1,0.104845982,1,0.5977,1,5.0898,1,373.938,1,0.083351746,1,1,-20.5
Bi1Cu1Se0.975O1,0.097564988,0.930555336,0.6318,1.057052033,4.6217,0.90803175,427.054,1.142044938,0.093386857,1.120394723,1.120394723,-4.3
Bi1Cu1Se0.95O1,0.08937387,0.852430091,0.6136,1.026601974,5.12268,1.006459979,394.476,1.054923543,0.090939191,1.091029227,1.091029227,1.8
Bi1Cu1Se0.9O1,0.056609399,0.539929122,0.6977,1.167308014,3.69,0.724979371,388.102,1.037877937,0.055763169,0.669010203,0.669010203,-1.5
Bi1Cu1Se1O1,0.152090346,1,0.416842105,1,27.06788028,1,362.5830258,1,0.597659897,1,1,293.0
Bi0.96Pb0.04Cu1Se1O1,0.693161775,4.557565902,0.529122807,1.26936027,85.01019899,3.140630079,248.8497696,0.686324929,0.696539177,1.16544406,1.16544406,0.5
Bi0.94Pb0.06Cu1Se1O1,1.019947489,6.70619481,0.538245614,1.291245792,163.7215296,6.04855378,212.2644037,0.585422892,0.959480483,1.605395456,1.605395456,-5.9
Bi0.92Pb0.08Cu1Se1O1,0.65387606,4.299260783,0.670877193,1.60942761,271.1748261,10.01832516,152.5083062,0.420616232,0.658187832,1.101274881,1.101274881,0.7
Bi1Cu1Se1O1,0.15,1,0.4217,1,6.968,1,363.942,1,0.153202882,1,1,2.1
Bi0.975Mg0.25Cu1Se1O1,0.38,2.533333333,0.4794,1.136827128,25.61,3.675373134,313.462,0.86129658,0.367434041,2.398349403,2.398349403,-3.3
Bi0.95Mg0.05Cu1Se1O1,0.34,2.266666667,0.5059,1.19966801,24.678,3.541618829,311.538,0.856010024,0.331409822,2.163208794,2.163208794,-2.5
Bi0.925Mg0.075Cu1Se1O1,0.36,2.4,0.4922,1.16718046,27.468,3.942020666,296.635,0.815061191,0.34373856,2.243682073,2.243682073,-4.5
Bi0.9Mg0.1Cu1Se1O1,0.32,2.133333333,0.5179,1.228124259,27.019,3.877583238,293.269,0.805812465,0.314089716,2.050155399,2.050155399,-1.8
Bi0.875Mg0.125Cu1Se1O1,0.38,2.533333333,0.5043,1.195873844,28.271,4.057261768,312.981,0.859974941,0.384402488,2.509107418,2.509107418,1.2
Bi0.850Mg0.150Cu1Se1O1,0.3,2,0.5476,1.298553474,27.695,3.974598163,288.462,0.792604316,0.294586737,1.922853756,1.922853756,-1.8
Bi0.825Mg0.175Cu1Se1O1,0.26,1.733333333,0.5917,1.403130187,29.949,4.298076923,268.75,0.73844184,0.255903215,1.670355097,1.670355097,-1.6
Bi0.800Mg0.200Cu1Se1O1,0.22,1.466666667,0.6631,1.572444866,53.976,7.746268657,194.231,0.533686686,0.214959578,1.40310401,1.40310401,-2.3
Bi1Cu1Se1O1,0.22,1,0.7743,1,34.332,1,291.551,1,0.263825613,1,1,19.9
Bi0.98Na0.02Cu1Se1O1,0.24,1.090909091,0.7013,0.905721297,39.782,1.158744029,267.867,0.918765499,0.284917577,1.079946612,1.079946612,18.7
Bi0.96Na0.04Cu1Se1O1,0.2,0.909090909,0.6774,0.874854707,41.417,1.206367238,233.795,0.801900868,0.23393862,0.886716864,0.886716864,17.0
Bi0.94Na0.06Cu1Se1O1,0.34,1.545454545,0.5877,0.759008136,47.684,1.388908307,265.789,0.911638101,0.401225969,1.520799915,1.520799915,18.0
Bi0.92Na0.08Cu1Se1O1,0.36,1.636363636,0.5997,0.774506005,55.858,1.626995223,246.26,0.844654966,0.395400417,1.498718844,1.498718844,9.8
Bi0.90Na0.10Cu1Se1O1,0.35,1.590909091,0.6954,0.898101511,63.488,1.849236864,244.598,0.83895442,0.382349743,1.449251798,1.449251798,9.2
Bi0.85Na0.15Cu1Se1O1,0.29,1.318181818,0.7073,0.913470231,71.39,2.079401142,211.773,0.726366914,0.31686403,1.201035893,1.201035893,9.3
Bi0.80Na0.20Cu1Se1O1,0.25,1.136363636,0.6906,0.891902363,72.752,2.119072585,191.828,0.657956927,0.271356607,1.02854535,1.02854535,8.5
Bi1Cu1Se1O1,0.31,1,0.721,1,32.186,1,316.199,1,0.312428588,1,1,0.8
Bi0.98K0.02Cu1Se1O1,0.41,1.322580645,0.59,0.818307906,35.695,1.109022556,310.563,0.982175782,0.408463111,1.307380716,1.307380716,-0.4
Bi0.96K0.04Cu1Se1O1,0.43,1.387096774,0.567,0.786407767,31.511,0.979028149,330.785,1.046129178,0.425665823,1.362441976,1.362441976,-1.0
Bi0.94K0.06Cu1Se1O1,0.31,1,0.601,0.833564494,31.511,0.979028149,298.63,0.944436889,0.327304987,1.047615356,1.047615356,5.6
Bi0.92K0.08Cu1Se1O1,0.3,0.967741935,0.613,0.850208044,32.186,1,291.337,0.9213723,0.311957808,0.998493159,0.998493159,4.0
Bi0.90K0.10Cu1Se1O1,0.28,0.903225806,0.588,0.815533981,39.879,1.239016964,250.895,0.793471833,0.298847059,0.956529173,0.956529173,6.7
Bi1Cu1Se1O1,0.29,1,0.5874,1,21.575,1,330.725,1,0.28122178,1,1,-3.0
Bi0.970In0.030Cu1Se1O1,0.28,0.965517241,0.6818,1.160708206,23.741,1.100393975,338.333,1.023004006,0.279015783,0.992155668,0.992155668,-0.4
Bi0.950In0.050Cu1Se1O1,0.32,1.103448276,0.6615,1.126149132,31.68,1.468366165,305.87,0.924846927,0.313636884,1.11526527,1.11526527,-2.0
Bi0.925In0.075Cu1Se1O1,0.31,1.068965517,0.7091,1.207184202,36.93,1.71170336,288.623,0.872697861,0.30369087,1.079898114,1.079898114,-2.0
Bi0.900In0.100Cu1Se1O1,0.19,0.655172414,0.674,1.14742935,33.058,1.532236385,233.841,0.707055711,0.187739665,0.667585793,0.667585793,-1.2
Bi1Cu1Se1O1,0.38,1,0.3709,1,4.100946372,1,407.13,1,0.128289617,1,1,-66.2
Bi0.975Ba0.025Cu1Se1O1,0.47,1.236842105,0.3928,1.059045565,58.35962145,14.23076923,243.909,0.599093656,0.618720746,4.82284352,4.82284352,31.6
Bi0.950Ba0.050Cu1Se1O1,0.52,1.368421053,0.4322,1.165273659,111.3564669,27.15384615,204.176,0.501500749,0.751861944,5.860660933,5.860660933,44.6
Bi0.925Ba0.075Cu1Se1O1,0.59,1.552631579,0.4555,1.228093826,181.3880126,44.23076923,177.868,0.436882568,0.881888917,6.874203387,6.874203387,49.5
Bi0.900Ba0.100Cu1Se1O1,0.65,1.710526316,0.4736,1.276894042,205.9936909,50.23076923,168.203,0.413143222,0.861405698,6.7145395,6.7145395,32.5
Bi0.875Ba0.125Cu1Se1O1,0.61,1.605263158,0.5014,1.351846859,229.3375394,55.92307692,158.6109293,0.389583006,0.805480588,6.278610925,6.278610925,32.0
Bi0.850Ba0.150Cu1Se1O1,0.55,1.447368421,0.5395,1.454569965,247.0031546,60.23076923,141.9071432,0.348554867,0.645383124,5.030673106,5.030673106,17.3
Bi1Cu1Se1O1,0.18,1,0.3695,1,4.633,1,407.716,1,0.145902054,1,1,-18.9
Bi0.975Mg0.025Cu1Se1O1,0.2,1.111111111,0.3507,0.949120433,7.004,1.511763436,415.146,1.018223469,0.240940677,1.651386462,1.651386462,20.5
Bi0.950Mg0.050Cu1Se1O1,0.24,1.333333333,0.3415,0.924221922,8.472,1.828620764,340.017,0.833955498,0.200768023,1.376046577,1.376046577,-16.3
Bi0.925Mg0.075Cu1Se1O1,0.21,1.166666667,0.3337,0.903112314,9.919,2.140945392,318.552,0.781308558,0.211139941,1.447134805,1.447134805,0.5
Bi0.900Mg0.100Cu1Se1O1,0.24,1.333333333,0.3264,0.883355886,11.676,2.520181308,307.406,0.753970901,0.236628285,1.621829699,1.621829699,-1.4
Bi0.875Mg0.125Cu1Se1O1,0.28,1.555555556,0.3194,0.864411367,16.446,3.549751781,278.097,0.682085079,0.278750735,1.910533314,1.910533314,-0.4
Bi1Cu1Se1O1,0.45,1,0.5397,1,31.787,1,325.466,1,0.436723354,1,1,-3.0
Bi0.975Ca0.025Cu1Se1O1,0.39,0.866666667,0.5808,1.076153419,49.006,1.541699437,253.984,0.7803703,0.381007395,0.872422763,0.872422763,-2.3
Bi0.950Ca0.025Cu1Se1O1,0.63,1.4,0.6017,1.114878636,86.754,2.72922893,249.19,0.765640651,0.626713077,1.435034493,1.435034493,-0.5
Bi0.925Ca0.075Cu1Se1O1,0.68,1.511111111,0.6448,1.194737817,136.423,4.29178595,213.885,0.657165418,0.677518663,1.551368061,1.551368061,-0.4
Bi0.900Ca0.100Cu1Se1O1,0.63,1.4,0.7312,1.354826756,211.258,6.646050272,176.401,0.54199517,0.629328075,1.441022262,1.441022262,-0.1
